set,QQ,epsilon,E1,theta,WW_cut,t_i,t_f,d_int1,d_int2,d_ext,sigma,estat,esyst,enorm
1,1.000,0.692,1.594,45.507,0.973,1.54,1.54,-0.1637,0.0179,-0.1147,5.267e+0,0.80,0.50,1.90
1,1.000,0.869,2.403,27.564,1.010,1.54,1.79,-0.1680,0.0175,-0.1307,1.780e+1,0.91,0.50,1.90
1,1.000,0.930,3.238,19.740,1.050,1.54,2.06,-0.1699,0.0172,-0.1442,3.951e+1,0.86,0.50,1.90
1,2.003,0.635,2.408,46.675,1.013,1.54,1.53,-0.1769,0.0244,-0.1100,4.436e-1,0.92,0.50,1.90
1,2.003,0.735,2.800,37.756,1.036,1.54,1.63,-0.1763,0.0242,-0.1161,7.797e-1,0.75,0.50,1.90
1,2.003,0.808,3.250,31.097,1.057,1.54,1.75,-0.1777,0.0237,-0.1233,1.288e+0,0.61,0.50,1.90
1,2.003,0.878,4.003,24.109,1.098,1.54,1.90,-0.1773,0.0234,-0.1313,2.421e+0,0.96,0.50,1.90
1,2.003,0.938,5.489,16.800,1.110,1.33,2.16,-0.1961,0.0212,-0.1500,5.746e+0,2.38,0.50,1.90
1,2.497,0.619,2.796,46.234,1.035,1.54,1.53,-0.1799,0.0271,-0.1079,1.894e-1,0.91,0.50,1.90
1,2.497,0.723,3.241,37.310,1.074,1.54,1.63,-0.1738,0.0275,-0.1104,3.369e-1,0.85,0.50,1.90
1,2.497,0.800,3.766,30.531,1.088,1.43,1.74,-0.1798,0.0261,-0.1173,5.629e-1,0.63,0.50,1.90
1,2.497,0.846,4.242,26.276,1.111,1.54,1.85,-0.1808,0.0257,-0.1273,8.293e-1,0.93,0.50,1.90
1,3.007,0.623,3.251,44.263,1.062,1.54,1.57,-0.1818,0.0295,-0.1073,9.664e-2,0.97,0.50,1.90
1,3.007,0.761,4.008,32.709,1.106,1.54,1.70,-0.1810,0.0287,-0.1156,2.194e-1,0.85,0.50,1.90
1,3.007,0.910,6.246,18.814,1.107,1.54,2.08,-0.2142,0.0238,-0.1596,9.085e-1,2.55,0.50,1.90
1,3.007,0.932,7.074,16.306,1.104,1.54,2.17,-0.2243,0.0228,-0.1721,1.315e+0,1.05,0.50,1.90
2,1.750,0.250,1.509,90.016,0.960,0.93,1.05,-0.1788,0.0232,-0.0713,1.440e-1,0.78,1.06,1.77
2,1.750,0.704,2.401,41.110,1.010,0.93,1.19,-0.1765,0.0225,-0.0802,1.029e+0,0.46,1.06,1.77
2,1.750,0.950,5.503,15.178,1.153,0.93,1.43,-0.1813,0.0212,-0.0957,1.155e+1,0.58,1.06,1.77
2,2.500,0.227,1.967,90.023,0.991,0.93,1.05,-0.1778,0.0302,-0.0651,3.389e-2,1.07,1.06,1.77
2,2.500,0.479,2.403,58.887,1.011,0.93,1.08,-0.1813,0.0277,-0.0709,9.857e-2,0.93,1.06,1.77
2,2.500,0.630,2.833,45.000,1.030,0.93,1.16,-0.1836,0.0265,-0.0769,1.990e-1,0.91,1.06,1.77
2,2.500,0.750,3.398,34.703,1.070,0.93,1.25,-0.1791,0.0265,-0.0804,3.951e-1,0.47,1.06,1.77
2,2.500,0.820,3.950,28.418,1.099,0.93,1.33,-0.1794,0.0261,-0.0848,6.616e-1,0.61,1.06,1.77
2,2.500,0.913,5.500,19.020,1.153,0.93,1.45,-0.1873,0.0245,-0.0950,1.779e+0,0.64,1.06,1.77
2,3.250,0.426,2.835,61.224,1.032,0.93,1.08,-0.1866,0.0316,-0.0685,2.848e-2,1.23,1.06,1.77
2,3.250,0.609,3.401,44.487,1.069,0.93,1.16,-0.1837,0.0305,-0.0736,6.784e-2,0.88,1.06,1.77
2,3.250,0.719,3.950,35.394,1.100,0.93,1.25,-0.1832,0.0297,-0.0785,1.256e-1,0.86,1.06,1.77
2,3.250,0.865,5.506,22.851,1.153,0.93,1.41,-0.1919,0.0273,-0.0917,3.898e-1,0.48,1.06,1.77
2,4.000,0.437,3.397,57.583,1.069,0.93,1.09,-0.1861,0.0355,-0.0662,1.297e-2,1.43,1.06,1.77
2,4.000,0.593,3.950,43.710,1.100,0.93,1.17,-0.1866,0.0335,-0.0720,2.770e-2,1.25,1.06,1.77
2,4.000,0.694,4.507,35.603,1.131,0.93,1.25,-0.1864,0.0325,-0.0771,4.929e-2,1.25,1.06,1.77
2,4.000,0.805,5.508,26.880,1.149,0.93,1.36,-0.1968,0.0298,-0.0881,1.023e-1,0.89,1.06,1.77
2,4.000,0.946,9.804,13.261,1.141,0.93,1.38,-0.2429,0.0242,-0.1125,6.180e-1,0.76,1.06,1.77
2,5.000,0.389,3.950,59.304,1.103,0.93,1.08,-0.1877,0.0406,-0.0628,4.205e-3,2.06,1.06,1.77
2,5.000,0.538,4.508,45.657,1.131,0.93,1.16,-0.1898,0.0375,-0.0695,8.462e-3,1.46,1.06,1.77
2,5.000,0.704,5.507,32.898,1.150,0.93,1.28,-0.2007,0.0333,-0.0820,2.128e-2,1.05,1.06,1.77
2,5.000,0.919,9.798,15.377,1.146,0.93,1.44,-0.2469,0.0262,-0.1139,1.576e-1,1.04,1.06,1.77
2,6.000,0.886,9.801,17.523,1.148,0.93,1.46,-0.2512,0.0280,-0.1137,4.749e-2,1.24,1.06,1.77
2,7.000,0.847,9.806,19.763,1.146,0.93,1.45,-0.2561,0.0295,-0.1122,1.707e-2,2.26,1.06,1.77
3,1.750,0.250,1.509,90.000,0.959,0.94,0.56,-0.1794,0.0231,-0.0498,1.514e-1,0.21,1.12,1.77
3,2.500,0.227,1.967,90.000,0.990,0.94,0.56,-0.1786,0.0300,-0.0443,3.545e-2,0.28,1.12,1.77
3,3.250,0.206,2.403,90.000,1.010,0.94,0.56,-0.1845,0.0346,-0.0421,1.095e-2,0.67,1.12,1.77
3,4.000,0.190,2.835,90.000,1.029,0.94,0.56,-0.1897,0.0388,-0.0403,4.092e-3,0.81,1.12,1.77
3,5.000,0.171,3.398,90.000,1.072,0.94,0.56,-0.1855,0.0476,-0.0348,1.339e-3,0.93,1.12,1.77
3,6.000,0.156,3.950,90.000,1.101,0.94,0.56,-0.1884,0.0536,-0.0321,5.164e-4,1.27,1.12,1.77
3,7.000,0.143,4.508,90.000,1.134,0.94,0.56,-0.1892,0.0604,-0.0289,2.248e-4,2.26,1.12,1.77
3,8.830,0.125,5.507,90.000,1.155,0.94,0.56,-0.2035,0.0649,-0.0287,6.022e-5,3.89,1.12,1.77
